"date","home_team","away_team","home_prob","draw_prob","away_prob","mode_home","mode_away","mode_prob","over_prob","under_prob","home_CS","away_CS"
"Sat 24 Nov","Charlton","Bristol Rovers",0.495445604501484,0.29109209040017,0.213462184118331,1,0,0.170569862242518,0.328168493777213,0.671831506222787,0.479607888542654,0.277172881996137
"Sat 24 Nov","Plymouth","Fleetwood",0.139841792285987,0.24378514537725,0.616371926945734,0,1,0.172770107529876,0.387061384565344,0.612938615434656,0.198444275685965,0.538335717303629
"Sat 24 Nov","Blackpool","Burton Albion",0.462718736622293,0.357093311608068,0.18018794449998,0,0,0.233571805255873,0.179763522688105,0.820236477311895,0.615164975144099,0.379689697878479
"Sat 24 Nov","Bradford","Oxford Utd",0.390874458121256,0.254649539690304,0.354475492040618,1,1,0.12041179458726,0.521105485215396,0.478894514784604,0.261735626035335,0.241666868816544
"Tue 27 Nov","Doncaster","Blackpool",0.419247940188663,0.335434008509801,0.245318040909457,1,0,0.18467201057405,0.24023724427275,0.75976275572725,0.501990925513717,0.367438919128676
"Tue 27 Nov","Shrewsbury","Plymouth",0.51538494069425,0.295378817719852,0.189236133884273,1,0,0.18721729853358,0.299849566388716,0.700150433611284,0.524742423502332,0.28128938766478
"Tue 27 Nov","Burton Albion","Charlton",0.208602899707486,0.279792611122561,0.511604271791516,0,1,0.16328053577265,0.356159818148982,0.643840181851018,0.256071397248492,0.468059237262511
"Tue 27 Nov","Accrington","Wycombe",0.486440835842035,0.252752679956268,0.260805650951572,1,1,0.120219281986773,0.490124591089007,0.509875408910993,0.342153276608214,0.209775936446708
"Tue 27 Nov","Peterborough","Wimbledon",0.815997943351758,0.116375313101637,0.0673133358973149,3,0,0.100942268890818,0.734706884352246,0.265293115647754,0.450457433816097,0.0485456111367325
"Tue 27 Nov","Southend Utd","Scunthorpe",0.503510666484169,0.210220445423054,0.286255239501435,2,1,0.0887549646670248,0.706149698602078,0.293850301397922,0.211681496574737,0.122681878786929
"Tue 27 Nov","Bristol Rovers","Gillingham",0.423255796190785,0.267582290440755,0.309161648658631,1,1,0.127039809728698,0.456559635452167,0.543440364547833,0.322804678266572,0.25391752758389
